Év,Q pontszám,Normalizált Q,I pontszám,IF,Normalizált IF,Publikációk száma,Lektorált folyóiratok száma,Konferenciacikkek száma,Könyv és könyvfejezet,Szabadalom,IF folyóiratok száma,D1,Q1,Q2,Q3,Q4
2003,40.83900000000002,52.87264246276276,124,25.311999999999998,41.63645070044003,100,62,16,4,1,37,4,12,14,18,0
2004,40.087999999999994,43.286094386294764,193,26.512999999999998,31.984934293487356,84,47,14,5,0,27,6,11,7,2,7
2005,39.588,43.8684290001441,217,27.396,33.09920703640569,75,41,10,2,0,23,9,9,5,2,5
2006,47.33899999999999,49.2859634465811,296,31.258000000000003,35.45098769606149,84,46,12,10,0,31,8,9,10,6,2
2007,49.447,45.09750587708194,268,37.2,33.138480398860665,98,53,15,4,0,36,7,12,15,6,4
2008,63.83799999999999,55.25034889350849,315,46.432999999999986,37.30892060528993,101,69,15,7,0,39,10,15,12,5,6
2009,54.21699999999999,50.558483836238345,377,40.855,36.96582549932177,92,59,9,5,0,37,10,9,13,8,8
2010,42.251,43.90815362953028,411,25.328999999999997,26.744814711941988,97,45,20,4,1,24,5,7,8,8,0
2011,76.78200000000002,75.10565124548108,463,62.079000000000015,62.144815274869785,136,82,13,1,0,56,16,16,16,13,2
2012,77.39699999999998,67.91744006392415,509,64.026,56.433104715459315,141,83,7,4,0,59,14,15,21,16,3
2013,66.27300000000002,63.394981368098065,571,45.785,43.75167216284894,139,62,24,14,0,42,8,12,17,8,6
2014,58.58400000000001,57.86839024123365,634,44.31799999999999,44.30559385919507,104,63,19,4,0,45,11,9,22,8,5
2015,96.69,80.4095013042277,705,81.43000000000002,65.61238947616575,121,88,8,5,0,65,18,18,24,9,3
2016,107.25499999999995,88.0268570766486,694,96.17399999999999,77.14267907056926,141,92,16,0,0,76,18,16,34,8,3
2017,104.48499999999999,77.45434021833634,854,94.996,68.56299347063928,120,77,13,7,0,64,13,22,26,5,2
2018,107.52300000000007,79.48917418411966,923,96.55400000000002,67.55182849749988,132,87,19,5,0,70,18,14,30,9,4
2019,95.16600000000005,72.80127734495822,973,79.54300000000002,55.63785847719352,130,80,25,4,0,58,9,22,25,10,5
2020,160.93900000000002,84.0457109462044,957,151.779,73.56480363097155,112,85,7,5,0,69,14,18,32,4,7
2021,135.07000000000002,84.00202577093003,1104,120.16999999999997,66.9529929893055,131,97,12,3,0,71,18,21,30,13,5
2022,205.45600000000007,102.02760682105884,825,197.05200000000005,92.32324688223889,122,105,5,2,0,88,25,26,40,4,3
